,Company_name,Symbol,Sector,Shares_outstanding,Market_price,Percent_change,Last_traded,52_weeks_low_high,180_day_average,120_day_average,1_year_yield,EPS,PE_ratio,Book_value,PBV,30_day_avg_volume,Market_capitalization,Sektor,Listed_shares,Paidup_value,Total_paidup_value
0,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,2867631.5,1639,-0.67,7/20/2021 12:25,"1,857.00-492.00",1590.89,1601.64,0,36.42,45,143.31,11.44,3042,4700048029,Microfinance,2867631.5,100,286763150
1,Agriculture Development Bank Limited,ADBL,Commercial_Banks,109899297.9,522,1.95,7/20/2021 12:25,554.00-406.00,449.22,450.99,18.52,22.19,23.52,228.69,2.28,101239,57367433504,Commercial Banks,109899297.9,100,10989929790
2,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate_Debenture,,1047,0,7/20/2021 12:25,"1,150.00-1,047.00",1078.62,1078,0,0,0,0,1047,222,0,Corporate Debenture,0,0,0
3,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro_Power,15723591,503,4.38,7/20/2021 12:25,574.00-92.00,348.96,375.66,386.77,6.05,83.14,106.22,4.74,188990,7908966273,Hydro Power,15723591,100,1572359100
4,AJOD Insurance Limited,AIL,Non_Life_Insurance,10000000,842.1,0.25,7/20/2021 12:25,"1,031.00-320.00",809.94,853.93,0,8.15,103.33,107.55,7.83,10275,8421000000,Non-Life Insurance,10000000,100,1000000000
5,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro_Power,8000000,288,-0.69,7/20/2021 12:25,335.00-48.00,194.05,220.08,488.78,4.63,-62.2,64.05,4.5,14637,2304000000,Hydro Power,8000000,100,800000000
6,Arun Kabeli Power Ltd.,AKPL,Hydro_Power,15856500,534,2.89,7/20/2021 12:25,527.00-112.00,370.36,399.08,310.32,17.09,31.25,112.98,4.73,182975,8467371000,Hydro Power,15856500,100,1585650000
7,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,2671312,1919,0.47,7/20/2021 12:25,"1,955.00-643.00",1656.36,1752.05,136.68,53.29,36.01,157.47,12.19,3678,5126247728,Microfinance,2671312,100,267131200
8,Asian Life Insurance Co. Limited,ALICL,Life_Insurance,20107607.27,1399,0.29,7/20/2021 12:25,"1,535.00-613.00",1316.54,1344.52,114.62,12.08,115.81,136.33,10.26,23100,28130542571,Life Insurance,20107607.27,100,2010760727
9,Api Power Company Ltd.,API,Hydro_Power,24967185.1,428,2.12,7/20/2021 12:25,475.00-106.00,339.02,363.89,258.97,6.74,63.5,111.22,3.85,228186,10685955223,Hydro Power,24967185.1,100,2496718510
10,Barun Hydropower Co. Ltd.,BARUN,Hydro_Power,2679075,547,0.74,7/20/2021 12:25,645.00-79.00,338.1,390.14,546.43,2.62,208.78,103.01,5.31,41855,1465454025,Hydro Power,2679075,100,267907500
11,Bishal Bazar Company Limited,BBC,Tradings,500000,6200,0.49,7/20/2021 12:25,"7,462.00-1,500.00",5664.81,6010.02,289.27,250.25,24.78,1685.32,3.68,1046,3100000000,Tradings,500000,100,50000000
12,Best Finance Company Ltd.,BFC,Finance,8289137.9,420,0,7/20/2021 12:25,473.00-94.00,240.26,280.43,300.38,11.45,36.68,111.64,3.76,69111,3481437918,Finance,8289137.9,100,828913790
13,Bottlers Nepal (Terai) Limited,BNT,Manufacturing_And_Processing,1210000,10810,-1.37,7/20/2021 12:25,"11,650.00-6,135.00",9667.62,9995.21,74.1,384.94,28.08,2117.17,5.11,189,13080100000,Manufacturing And Processing,1210000,100,121000000
14,Bank of Kathmandu Ltd.,BOKL,Commercial_Banks,96581764.3,397,-0.73,7/20/2021 12:25,399.90-221.00,329.86,341.86,68.73,16.14,24.6,165.45,2.4,95047,38342960427,Commercial Banks,96581764.3,100,9658176430
15,Butwal Power Company Limited,BPCL,Hydro_Power,29522702,529,1.73,7/20/2021 12:25,562.00-350.00,445.24,467.2,37.2,20.71,25.54,235.46,2.25,84965,15617509358,Hydro Power,29522702,100,2952270200
